gsis_id,name,draft_season,origin_year,draft_position,pick,round,log_pick,birth_date,age_at_origin,first_full_reg_season,window_absent_through_draft_season,appear_1,points_1,games_1,label_source_1,appear_2,points_2,games_2,label_source_2,appear_3,points_3,games_3,label_source_3,appear_4,points_4,games_4,label_source_4,appear_5,points_5,games_5,label_source_5
00-0020398,Sean Brewer,2001,2002,TE,66,3,4.189654742026425,1977-10-05,24.906228610540726,2002.0,True,1.0,0.0,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0020480,Sage Rosenfels,2001,2002,QB,109,4,4.6913478822291435,1978-03-06,24.490075290896645,2002.0,True,1.0,-0.9,2.0,artifact,1.0,5.9,2.0,artifact,1.0,0.0,1.0,artifact,1.0,29.980000000000004,4.0,artifact,1.0,21.1,4.0,artifact
00-0020373,Jabari Holloway,2001,2002,TE,119,4,4.77912349311153,1978-12-18,23.704312114989733,2002.0,True,1.0,11.9,5.0,artifact,1.0,16.400000000000002,9.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0020483,Jesse Palmer,2001,2002,QB,125,4,4.8283137373023015,1978-10-05,23.906913073237508,2002.0,True,1.0,0.8999999999999999,1.0,artifact,1.0,21.18,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0020484,Cedric James,2001,2002,WR,131,4,4.875197323201151,1979-03-19,23.45516769336071,2002.0,True,1.0,3.9,3.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0020315,Derrick Blaylock,2001,2002,RB,150,5,5.0106352940962555,1979-08-23,23.025325119780973,2002.0,True,1.0,5.5,9.0,artifact,1.0,60.1,12.0,artifact,1.0,157.3,12.0,artifact,1.0,8.600000000000001,5.0,artifact,1.0,12.2,2.0,artifact
00-0020464,Darnerien McCants,2001,2002,WR,154,5,5.0369526024136295,1978-08-01,24.084873374401095,2002.0,True,1.0,45.5,7.0,artifact,1.0,100.6,12.0,artifact,1.0,12.1,4.0,artifact,1.0,13.7,7.0,artifact,0.0,0.0,0.0,convention_zero
00-0020486,Josh Booty,2001,2002,QB,172,6,5.147494476813453,1975-04-29,27.342915811088297,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0020376,Dee Brown,2001,2002,RB,175,6,5.1647859739235145,1978-05-12,24.306639288158795,2002.0,True,1.0,83.60000000000001,12.0,artifact,0.0,0.0,0.0,artifact,1.0,0.0,5.0,artifact,1.0,3.8,6.0,artifact,1.0,3.9,11.0,artifact
00-0020436,Josh Heupel,2001,2002,QB,177,6,5.176149732573829,1978-03-22,24.44626967830253,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0020377,Arther Love,2001,2002,TE,180,6,5.19295685089021,1977-09-18,24.95277207392197,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0020395,Richmond Flowers III,2001,2002,WR,235,7,5.459585514144159,1978-05-04,24.32854209445585,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021164,DeShaun Foster,2002,2003,RB,34,2,3.5263605246161616,1980-01-10,23.641341546885695,2003.0,True,1.0,86.30000000000001,13.0,artifact,1.0,54.1,4.0,artifact,1.0,152.9,14.0,artifact,1.0,133.5,13.0,artifact,1.0,138.2,15.0,artifact
00-0021211,Marquis Walker,2002,2003,WR,86,3,4.454347296253507,1978-12-11,24.722792607802873,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021212,Cliff Russell,2002,2003,WR,87,3,4.465908118654584,1979-02-08,24.56125941136208,2003.0,True,1.0,0.0,2.0,artifact,1.0,4.6,12.0,artifact,0.0,0.0,0.0,convention_zero,1.0,3.4,2.0,artifact,0.0,0.0,0.0,convention_zero
00-0021220,Eric Crouch,2002,2003,WR,95,3,4.553876891600541,1978-11-16,24.791238877481177,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021258,Terry Charles,2002,2003,WR,142,5,4.955827057601261,1979-07-08,24.150581793292265,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021260,Kyle Johnson,2002,2003,RB,145,5,4.976733742420574,1978-12-15,24.711841204654345,2004.0,True,0.0,0.0,0.0,convention_zero,1.0,33.6,9.0,artifact,1.0,65.2,12.0,artifact,1.0,19.7,8.0,artifact,1.0,0.0,1.0,artifact
00-0021264,Jake Schifino,2002,2003,WR,151,5,5.017279836814924,1979-11-15,23.794661190965094,2003.0,True,1.0,0.0,11.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021271,Kurt Kittner,2002,2003,QB,158,5,5.062595033026967,1980-01-23,23.60574948665298,2003.0,True,1.0,12.94,6.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021273,Robert Royal,2002,2003,TE,160,5,5.075173815233827,1979-05-15,24.298425735797398,2003.0,True,1.0,9.8,3.0,artifact,1.0,31.6,8.0,artifact,1.0,37.1,11.0,artifact,1.0,62.3,14.0,artifact,1.0,57.7,10.0,artifact
00-0021275,Freddie Milons,2002,2003,WR,162,5,5.087596335232384,1980-06-27,23.17864476386037,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021276,Brandon Doman,2002,2003,QB,163,5,5.093750200806762,1976-12-29,26.67214236824093,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021277,Craig Nall,2002,2003,QB,164,5,5.099866427824199,1979-04-21,24.36413415468857,2004.0,True,0.0,0.0,0.0,convention_zero,1.0,19.12,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,artifact
00-0021283,Sam Simmons,2002,2003,WR,170,5,5.135798437050262,1979-11-25,23.76728268309377,2003.0,True,1.0,0.0,7.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021098,Josh Scobey,2002,2003,RB,185,6,5.220355825078324,1979-12-11,23.72347707049966,2003.0,True,1.0,7.9,14.0,artifact,1.0,45.2,11.0,artifact,1.0,0.0,15.0,artifact,1.0,0.0,10.0,artifact,1.0,0.0,4.0,artifact
00-0021296,J.T. O'Sullivan,2002,2003,QB,186,6,5.225746673713202,1979-08-25,24.019164955509925,2004.0,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,1.0,2.9199999999999995,4.0,artifact
00-0021305,Larry Ned,2002,2003,RB,197,6,5.2832037287379885,1978-08-23,25.023956194387406,2003.0,True,1.0,0.0,1.0,artifact,1.0,1.9,11.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021308,Mark Anelli,2002,2003,TE,201,6,5.303304908059076,1979-06-05,24.240930869267626,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021310,Jamin Elliott,2002,2003,WR,203,6,5.313205979041787,1979-10-05,23.906913073237508,2006.0,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,artifact,0.0,0.0,0.0,convention_zero
00-0021311,Brian Allen,2002,2003,RB,204,6,5.318119993844216,1980-04-20,23.364818617385353,2003.0,True,1.0,0.0,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021312,Steve Bellisari,2002,2003,QB,205,6,5.3230099791384085,1980-04-21,23.362080766598222,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021317,Bryan Fletcher,2002,2003,TE,210,6,5.3471075307174685,1979-03-23,24.4435318275154,2005.0,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,1.0,56.2,10.0,artifact,1.0,48.2,9.0,artifact,1.0,32.8,5.0,artifact
00-0021388,Bob Slowikowski,2002,2003,TE,211,6,5.351858133476067,1979-10-30,23.838466803559207,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021320,Luke Staley,2002,2003,RB,214,7,5.365976015021851,1980-09-16,22.95687885010267,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021322,Seth Burford,2002,2003,QB,216,7,5.375278407684165,1979-03-11,24.476386036960985,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021102,Kendall Newson,2002,2003,WR,222,7,5.402677381872279,1980-03-05,23.49075975359343,2003.0,True,1.0,7.5,2.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021334,Jeff Kelly,2002,2003,QB,232,7,5.44673737166631,1979-09-07,23.983572895277206,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021338,Wes Pate,2002,2003,QB,236,7,5.4638318050256105,1979-03-24,24.44079397672827,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021339,Antwoine Womack,2002,2003,RB,237,7,5.4680601411351315,1978-03-20,25.451060917180012,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021343,Leonard Henry,2002,2003,RB,241,7,5.484796933490655,1978-01-05,25.65366187542779,2004.0,True,0.0,0.0,0.0,convention_zero,1.0,15.6,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021429,Carson Palmer,2003,2004,QB,1,1,0.0,1979-12-27,24.681724845995895,2004.0,True,1.0,158.58,13.0,artifact,1.0,263.68,15.0,artifact,1.0,219.2,15.0,artifact,1.0,205.66,15.0,artifact,1.0,37.239999999999995,4.0,artifact
00-0022178,Willis McGahee,2003,2004,RB,23,1,3.1354942159291497,1981-10-21,22.863791923340177,2004.0,True,1.0,204.1,14.0,artifact,1.0,183.0,15.0,artifact,1.0,164.3,13.0,artifact,1.0,228.8,15.0,artifact,1.0,131.5,12.0,artifact
00-0022082,Bennie Joppru,2003,2004,TE,41,2,3.713572066704308,1980-01-05,24.657084188911703,2006.0,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,1.0,0.0,3.0,artifact,1.0,0.0,5.0,artifact,0.0,0.0,0.0,convention_zero
00-0022005,Chris Simms,2003,2004,QB,97,3,4.574710978503383,1980-08-29,24.008213552361397,2004.0,True,1.0,5.02,4.0,artifact,1.0,89.28,10.0,artifact,1.0,20.1,3.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,artifact
00-0022055,Seneca Wallace,2003,2004,QB,110,4,4.700480365792417,1980-08-06,24.071184120465436,2005.0,True,0.0,0.0,0.0,convention_zero,1.0,2.5,4.0,artifact,1.0,60.98,6.0,artifact,1.0,8.56,4.0,artifact,1.0,85.68,9.0,artifact
00-0022101,Brian St. Pierre,2003,2004,QB,163,5,5.093750200806762,1979-11-28,24.761122518822724,2004.0,True,0.0,0.0,0.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022148,J.R. Tolver,2003,2004,WR,169,5,5.1298987149230735,1980-01-13,24.635181382614647,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022181,Drew Henson,2003,2004,QB,192,6,5.2574953720277815,1980-02-13,24.550308008213552,2004.0,True,1.0,3.82,2.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,1.0,0.8,2.0,artifact
00-0022026,Brooks Bollinger,2003,2004,QB,200,6,5.298317366548036,1979-11-15,24.79671457905544,2004.0,True,1.0,2.6,1.0,artifact,1.0,82.8,10.0,artifact,1.0,3.84,2.0,artifact,1.0,19.44,5.0,artifact,1.0,4.52,1.0,artifact
00-0022027,Kliff Kingsbury,2003,2004,QB,201,6,5.303304908059076,1979-08-09,25.065023956194388,2005.0,True,0.0,0.0,0.0,convention_zero,1.0,0.68,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022110,Trent Smith,2003,2004,TE,223,7,5.407171771460119,1979-09-15,24.9637234770705,2005.0,True,0.0,0.0,0.0,convention_zero,1.0,3.7,2.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021948,Taco Wallace,2003,2004,WR,224,7,5.4116460518550396,1981-04-14,23.38398357289528,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022113,Ahmaad Galloway,2003,2004,RB,235,7,5.459585514144159,1980-03-10,24.479123887748116,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022039,Ken Dorsey,2003,2004,QB,241,7,5.484796933490655,1981-04-22,23.362080766598222,2004.0,True,1.0,38.38,7.0,artifact,1.0,24.34,3.0,artifact,1.0,0.0,1.0,artifact,0.0,0.0,0.0,convention_zero,1.0,0.9600000000000004,4.0,artifact
00-0022151,Casey Moore,2003,2004,RB,247,7,5.5093883366279774,1980-07-26,24.10130047912389,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021968,Carl Ford,2003,2004,WR,256,7,5.545177444479562,1980-10-08,23.89869952087611,2005.0,True,0.0,0.0,0.0,convention_zero,1.0,0.0,5.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0021963,Ryan Hoag,2003,2004,WR,262,7,5.568344503761097,1979-11-23,24.774811772758383,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022929,Devery Henderson,2004,2005,WR,50,2,3.912023005428146,1982-03-26,23.43600273785079,2005.0,True,1.0,64.2,10.0,artifact,1.0,134.8,9.0,artifact,1.0,80.9,12.0,artifact,1.0,127.7,14.0,artifact,1.0,141.9,15.0,artifact
00-0022853,Derrick Hamilton,2004,2005,WR,77,3,4.343805421853684,1981-11-30,23.753593429158112,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022819,Maurice Mann,2004,2005,WR,149,5,5.003946305945459,1982-09-14,22.965092402464066,2006.0,True,0.0,0.0,0.0,convention_zero,1.0,0.0,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022718,Mark Wilson,2004,2005,TE,151,5,5.017279836814924,1980-11-11,24.804928131416837,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022701,D.J. Hackett,2004,2005,WR,157,5,5.056245805348308,1981-07-03,24.164271047227928,2005.0,True,1.0,72.1,9.0,artifact,1.0,113.7,12.0,artifact,1.0,80.30000000000001,5.0,artifact,1.0,23.4,7.0,artifact,0.0,0.0,0.0,convention_zero
00-0022879,Drew Carter,2004,2005,WR,163,5,5.093750200806762,1981-09-05,23.98904859685147,2005.0,True,1.0,21.3,2.0,artifact,1.0,83.5,10.0,artifact,1.0,105.8,14.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022741,P.K. Sam,2004,2005,WR,164,5,5.099866427824199,1983-02-26,22.51334702258727,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022761,Andy Hall,2004,2005,QB,185,6,5.220355825078324,1980-11-26,24.763860369609855,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022800,Josh Harris,2004,2005,QB,187,6,5.231108616854587,1982-09-09,22.978781656399725,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022219,Matt Kranchick,2004,2005,TE,194,6,5.267858159063328,1979-12-13,25.71937029431896,2005.0,True,1.0,1.6,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022765,Jeff Smoker,2004,2005,QB,201,6,5.303304908059076,1981-06-13,24.21902806297057,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022686,Sloan Thomas,2004,2005,WR,211,7,5.351858133476067,1981-12-22,23.693360711841205,2005.0,True,1.0,0.0,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022829,Casey Bramlet,2004,2005,QB,218,7,5.384495062789089,1981-04-02,24.416153319644078,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022801,Quincy Wilson,2004,2005,RB,219,7,5.389071729816501,1981-04-26,24.35044490075291,2006.0,True,0.0,0.0,0.0,convention_zero,1.0,0.2,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022768,Matt Mauck,2004,2005,QB,225,7,5.41610040220442,1979-02-12,26.55167693360712,2005.0,True,1.0,4.84,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022748,Erik Jensen,2004,2005,TE,237,7,5.4680601411351315,1980-10-11,24.889801505817932,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022733,Bruce Perry,2004,2005,RB,242,7,5.488937726156687,1981-03-22,24.44626967830253,2005.0,True,1.0,0.4,1.0,artifact,1.0,0.0,2.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022830,Derek Abney,2004,2005,WR,244,7,5.497168225293202,1980-12-19,24.700889801505816,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022773,Brandon Miree,2004,2005,RB,247,7,5.5093883366279774,1981-04-14,24.383299110198493,2006.0,True,0.0,0.0,0.0,convention_zero,1.0,14.7,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022720,B.J. Symons,2004,2005,QB,248,7,5.5134287461649825,1980-11-19,24.78302532511978,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0022774,Bradlee Van Pelt,2004,2005,QB,250,7,5.521460917862246,1980-07-03,25.163586584531142,2005.0,True,1.0,6.7,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023460,Jason Campbell,2005,2006,QB,25,1,3.2188758248682006,1981-12-31,24.66803559206023,2006.0,True,1.0,73.28,6.0,artifact,1.0,146.60000000000002,13.0,artifact,1.0,179.46,15.0,artifact,1.0,198.28,15.0,artifact,1.0,145.18,12.0,artifact
00-0023489,Eric Shelton,2005,2006,RB,54,2,3.9889840465642745,1983-06-23,23.19233401779603,2006.0,True,1.0,3.9,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023504,Andrew Walter,2005,2006,QB,69,3,4.23410650459726,1982-05-11,24.309377138945926,2006.0,True,1.0,38.080000000000005,12.0,artifact,1.0,1.52,1.0,artifact,1.0,4.0600000000000005,2.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023520,David Greene,2005,2006,QB,85,3,4.442651256490317,1982-06-22,24.194387405886378,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023521,Kevin Everett,2005,2006,TE,86,3,4.454347296253507,1982-02-05,24.569472963723477,2006.0,True,1.0,1.1,4.0,artifact,1.0,1.3,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023551,Craphonso Thorpe,2005,2006,WR,116,4,4.7535901911063645,1983-06-27,23.1813826146475,2007.0,True,0.0,0.0,0.0,convention_zero,1.0,10.7,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023552,Chase Lyman,2005,2006,WR,118,4,4.770684624465665,1982-09-04,23.991786447638603,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023554,Manuel White,2005,2006,RB,120,4,4.787491742782046,1982-07-02,24.16700889801506,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023555,Stefan Lefors,2005,2006,QB,121,4,4.795790545596741,1981-06-07,25.234770704996578,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023565,Fred Gibson,2005,2006,WR,131,4,4.875197323201151,1981-10-26,24.84873374401095,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023574,Airese Currie,2005,2006,WR,140,5,4.941642422609304,1982-11-16,23.79192334017796,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023577,Jerome Collins,2005,2006,TE,144,5,4.969813299576001,1982-08-18,24.03832991101985,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023585,Adrian McPherson,2005,2006,QB,152,5,5.0238805208462765,1983-05-08,23.318275154004105,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023628,Tony Jackson,2005,2006,TE,196,6,5.278114659230517,1982-07-05,24.15879534565366,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023645,Derek Anderson,2005,2006,QB,213,6,5.3612921657094255,1983-06-15,23.21423682409309,2006.0,True,1.0,38.42,4.0,artifact,1.0,245.06,15.0,artifact,1.0,90.4,10.0,artifact,1.0,32.68,7.0,artifact,1.0,89.10000000000001,12.0,artifact
00-0023653,Rick Razzano,2005,2006,RB,221,7,5.3981627015177525,1981-01-28,25.590691307323752,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
00-0023655,Marcus Maxwell,2005,2006,WR,223,7,5.407171771460119,1983-07-08,23.15126625598905,2007.0,True,0.0,0.0,0.0,convention_zero,1.0,1.5,2.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero
